person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,cb_person_default_on_file_Y
23,75800,0.0,7000,6.54,0.09,2,False,False,True,False,False,False,True,False,False
25,61959,9.0,25000,12.73,0.4,4,False,False,True,True,False,False,False,False,True
31,53088,0.0,6000,6.54,0.11,9,False,False,True,False,False,False,True,False,False
27,228000,12.0,6000,7.14,0.03,6,False,False,False,False,True,False,False,False,False
29,54000,0.0,10000,14.96,0.19,9,False,False,True,False,False,False,True,False,False
25,90000,4.0,3000,11.49,0.03,4,False,False,False,False,False,False,True,False,False
21,54036,3.0,8000,11.36,0.15,2,False,False,False,False,False,True,False,False,False
22,150000,6.0,18000,15.2,0.12,4,False,False,False,False,False,False,True,False,False
24,112500,1.0,16000,12.29,0.14,3,False,False,True,False,False,False,True,False,False
22,50000,3.0,13000,12.23,0.26,3,False,False,True,False,False,True,False,False,False
23,103000,4.0,16800,13.11,0.16,4,False,False,True,False,False,False,False,False,False
22,54000,2.0,3000,11.011694892245036,0.06,4,False,False,True,False,False,True,False,False,False
28,44104,4.0,15000,11.011694892245036,0.34,10,False,False,True,False,False,False,False,True,False
25,154000,1.0,21600,10.37,0.14,3,False,False,False,True,False,False,False,False,False
26,52000,5.0,5000,10.59,0.1,3,False,False,True,False,False,False,True,False,False
28,66725,3.0,9000,16.29,0.11,9,False,False,True,False,False,True,False,False,True
25,75000,3.0,6000,6.92,0.08,2,False,False,False,False,False,False,True,False,False
24,37920,4.0,6000,6.99,0.16,3,False,False,True,False,False,False,False,False,False
22,40000,7.0,10850,7.66,0.27,4,False,False,False,False,False,False,True,False,False
29,33600,3.0,12000,11.83,0.36,6,False,False,False,False,False,True,False,False,False
21,61000,3.0,7500,10.39,0.12,2,False,False,True,True,False,False,False,False,False
22,53004,6.0,1500,13.79,0.03,2,False,False,False,True,False,False,False,False,False
22,37200,6.0,10000,11.011694892245036,0.27,2,False,False,True,False,False,False,True,False,False
23,110000,6.0,3000,14.22,0.03,3,False,False,True,True,False,False,False,False,False
28,30000,4.0,8000,11.011694892245036,0.27,8,False,False,True,False,False,True,False,False,False
21,56532,4.0,16000,7.88,0.28,3,False,False,False,True,False,False,False,False,False
40,125000,3.0,10200,7.49,0.08,13,False,False,False,False,False,False,True,False,False
29,30000,2.0,1600,10.25,0.05,9,False,False,False,False,False,False,False,False,False
25,150000,9.0,12000,11.011694892245036,0.08,4,False,False,False,False,False,False,False,False,False
35,36000,1.0,3925,9.99,0.11,5,False,True,False,False,False,False,False,True,False
24,69000,2.0,27600,11.011694892245036,0.4,2,False,False,True,False,True,False,False,False,False
24,52000,8.0,5000,7.4,0.1,2,False,True,False,False,False,False,True,False,False
42,36000,8.0,13000,12.73,0.36,16,False,False,True,False,False,True,False,False,True
23,24000,0.0,9250,6.54,0.39,3,False,False,True,False,False,False,False,True,False
23,52000,7.0,6000,11.011694892245036,0.12,3,False,True,False,True,False,False,False,False,False
27,102000,2.0,10150,11.011694892245036,0.1,6,False,False,True,False,True,False,False,False,False
27,100000,0.0,6575,5.79,0.07,6,False,False,False,False,False,False,True,False,False
22,20640,0.0,2500,12.68,0.12,3,False,False,True,True,False,False,False,False,False
23,66661,7.0,1500,11.49,0.02,2,False,False,False,False,False,False,True,False,False
39,73882,17.0,7000,9.91,0.09,13,False,False,True,False,False,True,False,False,False
31,72000,15.0,4000,9.99,0.06,5,False,False,True,True,False,False,False,False,False
25,19200,0.0,5000,9.62,0.26,2,False,False,True,False,True,False,False,False,False
27,50000,5.0,8000,13.43,0.16,10,False,False,True,False,False,True,False,False,False
24,172000,6.0,20000,13.47,0.12,4,False,False,False,False,False,False,False,False,True
31,70000,9.0,18000,8.9,0.26,10,False,False,False,False,False,True,False,False,False
23,55000,0.0,5500,11.71,0.1,4,False,False,True,False,False,False,True,False,False
26,53000,3.0,6000,9.99,0.11,2,False,True,False,False,False,False,False,True,False
24,33996,2.0,5000,14.96,0.15,2,False,False,True,False,True,False,False,False,False
22,130000,3.0,14500,11.011694892245036,0.11,2,False,False,False,False,False,False,False,False,False
